Country or territory of asylum or residence,Country or territory of origin,Year,Refugees,Refugees assisted by UNHCR,Total refugees and people in refugee-like situations,Total refugees and people in refugee-like situations assisted by UNHCR
Afghanistan,Iraq,2016,1,1,1,1
Afghanistan,Islamic Rep. of Iran,2016,33,33,33,33
Afghanistan,Pakistan,2016,59737,59737,59737,59737
Albania,China,2016,11,11,11,11
Albania,Dem. Rep. of the Congo,2016,3,3,3,3
Albania,Egypt,2016,3,3,3,3
Albania,Iraq,2016,23,23,23,23
Albania,Islamic Rep. of Iran,2016,17,17,17,17
Albania,Montenegro,2016,2,2,2,2
Albania,Peru,2016,1,1,1,1
Albania,Russian Federation,2016,1,1,1,1
Albania,Serbia,2016,60,60,60,60
Albania,State of Palestine,2016,4,4,4,4
Albania,Syrian Arab Rep.,2016,3,3,3,3
Albania,The former Yugoslav Rep. of Macedonia,2016,1,,1,
Albania,Turkey,2016,4,4,4,4
Albania,Ukraine,2016,1,1,1,1
Albania,Uzbekistan,2016,4,4,4,4
Algeria,Afghanistan,2016,2,2,2,2
Algeria,Burundi,2016,1,1,1,1
Algeria,Cameroon,2016,14,14,14,14
Algeria,Central African Rep.,2016,47,47,47,47
Algeria,Chad,2016,1,1,1,1
Algeria,Côte d'Ivoire,2016,36,36,36,36
Algeria,Dem. Rep. of the Congo,2016,40,40,40,40
Algeria,Eritrea,2016,1,1,1,1
Algeria,Guinea,2016,1,1,1,1
Algeria,Iraq,2016,13,13,13,13
Algeria,Liberia,2016,1,1,1,1
Algeria,Libya,2016,16,16,16,16
Algeria,Mali,2016,29,29,29,29
Algeria,Nigeria,2016,1,1,1,1
Algeria,Senegal,2016,1,1,1,1
Algeria,Somalia,2016,1,1,1,1
Algeria,State of Palestine,2016,4015,10,4015,10
Algeria,Sudan,2016,2,2,2,2
Algeria,Togo,2016,5,5,5,5
Algeria,Western Sahara,2016,90000,90000,90000,90000
Algeria,Yemen,2016,5,5,5,5
Angola,Algeria,2016,1,,1,
Angola,Burundi,2016,9,,9,
Angola,Cameroon,2016,1,,1,
Angola,Central African Rep.,2016,9,,9,
Angola,Chad,2016,184,,184,
Angola,Congo,2016,4,2,4,2
Angola,Côte d'Ivoire,2016,510,,510,
Angola,Dem. Rep. of the Congo,2016,12944,128,12944,128
Angola,Eritrea,2016,34,,34,
Angola,Ethiopia,2016,1,,1,
Angola,Guinea,2016,107,,107,
Angola,Guinea-Bissau,2016,1,,1,
Angola,Haiti,2016,1,,1,
Angola,Liberia,2016,155,2,155,2
Angola,Libya,2016,1,,1,
Angola,Mali,2016,2,,2,
Angola,Mauritania,2016,306,,306,
